title	genre
10 Cloverfield Lane	Sci-Fi
10 Cloverfield Lane	Horror
10 Cloverfield Lane	Thriller
10 Cloverfield Lane	Mystery
10 Cloverfield Lane	Drama
Alice Through the Looking Glass	Adventure
Alice Through the Looking Glass	Fantasy
Alice Through the Looking Glass	Family
Allied	Action
Allied	Romance
Allied	Drama
Allied	Thriller
Allied	War
Alvin and the Chipmunks The Road Chip	Animation
Alvin and the Chipmunks The Road Chip	Comedy
Alvin and the Chipmunks The Road Chip	Family
Alvin and the Chipmunks The Road Chip	Music
Arrival	Short
Arrival	Sci-Fi
Assassin's Creed	Adventure
Assassin's Creed	Fantasy
Assassin's Creed	Action
Assassin's Creed	Sci-Fi
Bad Moms	Comedy
Bad Santa 2	Crime
Bad Santa 2	Comedy
Bad Santa 2	Drama
Bastille Day	Action
Bastille Day	Drama
Bastille Day	Thriller
Batman v Superman: Dawn of Justice	Action
Batman v Superman: Dawn of Justice	Sci-Fi
Batman v Superman: Dawn of Justice	Adventure
Ben-Hur	Adventure
Ben-Hur	Drama
Ben-Hur	Action
Blair Witch	Horror
Blair Witch	Thriller
Bridget Jones's Baby	Romance
Bridget Jones's Baby	Comedy
Brooklyn	Drama
Brooklyn	Musical
Brooklyn	Music
Brooklyn	Drama
Brooklyn	Romance
Cafe Society	Comedy
Captain America: Civil War	Sci-Fi
Captain America: Civil War	Adventure
Captain America: Civil War	Action
Captain Fantastic	Drama
Captain Fantastic	Comedy
Capture the Flag (Atrapa la bandera)	Adventure
Capture the Flag (Atrapa la bandera)	Animation
Capture the Flag (Atrapa la bandera)	Comedy
Carol	Short
Carol	Romance
Carol	Drama
Central Intelligence	Comedy
Central Intelligence	Crime
Central Intelligence	Action
Collateral Beauty	Romance
Collateral Beauty	Drama
Concussion	Biography
Concussion	Sport
Concussion	Drama
Concussion	Drama
Creed	Drama
Creed	Mystery
Creed	Crime
Creed	Drama
Creed	Sport
Creed	Drama
Creed	Short
Creed	Family
Criminal	Action
Criminal	Drama
Criminal	Crime
Criminal	Action
Criminal	Crime
Criminal	Thriller
Criminal	Short
Criminal	Short
Criminal	Action
Criminal	Drama
Criminal	Mystery
Criminal	Thriller
Criminal	Crime
Criminal	Sci-Fi
Criminal	Drama
Criminal	Drama
Daddy's Home	Family
Daddy's Home	Comedy
Deadpool	Comedy
Deadpool	Action
Deadpool	Romance
Deadpool	Adventure
Deadpool	Sci-Fi
Deepwater Horizon	Drama
Deepwater Horizon	Thriller
Dirty Grandpa	Comedy
Doctor Strange	Action
Doctor Strange	Fantasy
Doctor Strange	Sci-Fi
Doctor Strange	Adventure
Don't Breathe	Horror
Don't Breathe	Crime
Don't Breathe	Thriller
Don't Breathe	Documentary
Eddie the Eagle	Comedy
Eddie the Eagle	Biography
Eddie the Eagle	Drama
Eddie the Eagle	Sport
Elle	Short
Elle	Comedy
Elle	Short
En man som heter Ove	Comedy
En man som heter Ove	Drama
Eye in the Sky	Drama
Eye in the Sky	Drama
Eye in the Sky	Action
Eye in the Sky	Thriller
Eye in the Sky	War
Fantastic Beasts and Where To Find Them	Adventure
Fantastic Beasts and Where To Find Them	Family
Fantastic Beasts and Where To Find Them	Fantasy
Fifty Shades of Black	Comedy
Finding Dory	Family
Finding Dory	Comedy
Finding Dory	Animation
Finding Dory	Adventure
Florence Foster Jenkins	Music
Florence Foster Jenkins	Comedy
Florence Foster Jenkins	Drama
Florence Foster Jenkins	Biography
Ghostbusters	Fantasy
Ghostbusters	Comedy
Ghostbusters	Sci-Fi
Ghostbusters	Action
Gods of Egypt	Action
Gods of Egypt	Fantasy
Gods of Egypt	Adventure
Goosebumps	Family
Goosebumps	Comedy
Goosebumps	Fantasy
Goosebumps	Horror
Goosebumps	Adventure
Hacksaw Ridge	War
Hacksaw Ridge	History
Hacksaw Ridge	Drama
"Hail, Caesar!"	Comedy
"Hail, Caesar!"	Mystery
Hardcore Henry	Sci-Fi
Hardcore Henry	Thriller
Hardcore Henry	Adventure
Hardcore Henry	Action
Hell or High Water	Drama
Hell or High Water	Action
Hell or High Water	Crime
How to Be Single	Comedy
How to Be Single	Romance
"I, Daniel Blake"	Drama
Ice Age: Collision Course	Animation
Ice Age: Collision Course	Family
Ice Age: Collision Course	Adventure
Ice Age: Collision Course	Sci-Fi
Ice Age: Collision Course	Comedy
Independence Day: Resurgence	Action
Independence Day: Resurgence	Adventure
Independence Day: Resurgence	Sci-Fi
Inferno	Drama
Inferno	Short
Inferno	Action
Inferno	Documentary
Inferno	Short
Inferno	Thriller
Jack Reacher: Never Go Back	Action
Jack Reacher: Never Go Back	Mystery
Jack Reacher: Never Go Back	Adventure
Jack Reacher: Never Go Back	Thriller
Jack Reacher: Never Go Back	Crime
Jason Bourne	Music
Jason Bourne	Action
Jason Bourne	Short
Jason Bourne	Thriller
Joy	Drama
Joy	Comedy
Julieta	Romance
Julieta	Drama
Kubo and the Two Strings	Fantasy
Kubo and the Two Strings	Family
Kubo and the Two Strings	Adventure
Kubo and the Two Strings	Animation
Kung Fu Panda 3	Animation
Kung Fu Panda 3	Comedy
Kung Fu Panda 3	Fantasy
Kung Fu Panda 3	Family
Kung Fu Panda 3	Action
Kung Fu Panda 3	Adventure
La La Land	Comedy
Les Visiteurs 3: la Terreur (The Visitors: Bastille Day)	Comedy
Lights Out	Thriller
London Has Fallen	Action
London Has Fallen	Thriller
London Has Fallen	Drama
London Has Fallen	Crime
Masterminds	Drama
Masterminds	Crime
Masterminds	Action
Me Before You	Romance
Me Before You	Drama
Mechanic: Resurrection	Action
Mechanic: Resurrection	Adventure
Mechanic: Resurrection	Thriller
Mechanic: Resurrection	Crime
Mike and Dave Need Wedding Dates	Romance
Mike and Dave Need Wedding Dates	Comedy
Mike and Dave Need Wedding Dates	Adventure
Miss Peregrine's Home for Peculiar Children	Fantasy
Miss Peregrine's Home for Peculiar Children	Adventure
Miss Peregrine's Home for Peculiar Children	Drama
Miss Peregrine's Home for Peculiar Children	Family
Moana	Adventure
Moana	Animation
Moana	Comedy
Moana	Family
Moana	Fantasy
Moana	Musical
Moana	Fantasy
Moana	Short
Money Monster	Crime
Money Monster	Thriller
Money Monster	Drama
Mother's Day	Comedy
Mother's Day	Drama
My Big Fat Greek Wedding 2	Comedy
My Big Fat Greek Wedding 2	Romance
My Big Fat Greek Wedding 2	Family
Neighbors 2: Sorority Rising	Comedy
Nerve	Drama
Nerve	Comedy
Nerve	Crime
Nerve	Adventure
Nerve	History
Nerve	Thriller
Nerve	Documentary
Nine Lives	Crime
Nine Lives	Short
Nine Lives	Drama
Nine Lives	Drama
Nine Lives	Short
Nocturnal Animals	Thriller
Nocturnal Animals	Drama
Norm of the North	Family
Norm of the North	Comedy
Norm of the North	Animation
Norm of the North	Adventure
Now You See Me 2	Thriller
Now You See Me 2	Action
Now You See Me 2	Mystery
Now You See Me 2	Crime
Now You See Me 2	Comedy
Now You See Me 2	Adventure
Office Christmas Party	Comedy
Ouija: Origin of Evil	Thriller
Ouija: Origin of Evil	Horror
Passengers	Short
Passengers	Romance
Passengers	Drama
Passengers	Short
Pete's Dragon	Fantasy
Pete's Dragon	Adventure
Pete's Dragon	Family
Point Break	Thriller
Point Break	Crime
Point Break	Action
Point Break	Sport
Ratchet & Clank	Family
Ratchet & Clank	Action
Ratchet & Clank	Animation
Ratchet & Clank	Comedy
Ratchet & Clank	Adventure
Ratchet & Clank	Sci-Fi
Ride Along 2	Comedy
Ride Along 2	Action
Risen	Action
Risen	Adventure
Risen	Sci-Fi
Risen	Mystery
Risen	Drama
Risen	Fantasy
Robinson Crusoe	Animation
Robinson Crusoe	Adventure
Robinson Crusoe	Comedy
Robinson Crusoe	Family
Rogue One: A Star Wars Story	Action
Rogue One: A Star Wars Story	Adventure
Rogue One: A Star Wars Story	Sci-Fi
Room	Short
Room	Short
Room	Drama
Room	News
Sausage Party	Fantasy
Sausage Party	Animation
Sausage Party	Adventure
Sausage Party	Comedy
Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)	Adventure
Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)	Animation
Sing	Comedy
Sing	Music
Sing	Short
Sing	Family
Sing	Drama
Sing	Crime
Sing	Drama
Sing	Animation
Sisters	Horror
Snowden	Thriller
Snowden	Drama
Snowden	Biography
Spotlight	Comedy
Spotlight	Romance
Spotlight	Short
Spotlight	Musical
Star Trek Beyond	Action
Star Trek Beyond	Sci-Fi
Star Trek Beyond	Thriller
Star Trek Beyond	Adventure
Storks	Animation
Storks	Family
Storks	Adventure
Storks	Fantasy
Storks	Comedy
Suicide Squad	Sci-Fi
Suicide Squad	Adventure
Suicide Squad	Fantasy
Suicide Squad	Action
Sully	Biography
Sully	Drama
Teenage Mutant Ninja Turtles: Out of the Shadows	Comedy
Teenage Mutant Ninja Turtles: Out of the Shadows	Action
Teenage Mutant Ninja Turtles: Out of the Shadows	Adventure
Teenage Mutant Ninja Turtles: Out of the Shadows	Sci-Fi
The 5th Wave	Sci-Fi
The 5th Wave	Thriller
The 5th Wave	Adventure
The 5th Wave	Action
The Accountant	Action
The Accountant	Short
The Accountant	Thriller
The Accountant	Crime
The Accountant	Drama
The Accountant	Drama
The Angry Birds Movie	Action
The Angry Birds Movie	Animation
The Angry Birds Movie	Comedy
The BFG	Adventure
The BFG	Family
The BFG	Fantasy
The Big Short	Drama
The Big Short	History
The Big Short	Biography
The Big Short	Comedy
The Boss	Short
The Boss	Action
The Boss	Comedy
The Boy	Comedy
The Boy	Sci-Fi
The Boy	Family
The Boy	Short
The Boy	Mystery
The Boy	Comedy
The Boy	Short
The Boy	Horror
The Boy	Drama
The Boy	Thriller
The Brothers Grimsby	Action
The Brothers Grimsby	Adventure
The Brothers Grimsby	Comedy
The Choice	Drama
The Choice	Romance
The Conjuring 2	Mystery
The Conjuring 2	Thriller
The Conjuring 2	Horror
The Danish Girl	Drama
The Danish Girl	Romance
The Danish Girl	Drama
The Danish Girl	Biography
The Danish Girl	Short
The Divergent Series: Allegiant	Action
The Divergent Series: Allegiant	Adventure
The Divergent Series: Allegiant	Mystery
The Finest Hours	Action
The Finest Hours	Thriller
The Finest Hours	History
The Finest Hours	Drama
The Forest	Short
The Forest	Drama
The Forest	Adventure
The Forest	Mystery
The Forest	Animation
The Girl on the Train	Thriller
The Girl on the Train	Drama
The Girl on the Train	Mystery
The Girl on the Train	Drama
The Girl on the Train	Short
The Girl on the Train	Thriller
The Hateful Eight	Thriller
The Hateful Eight	Western
The Hateful Eight	Crime
The Hateful Eight	Mystery
The Hateful Eight	Drama
The Huntsman Winter's War	Action
The Huntsman Winter's War	Adventure
The Huntsman Winter's War	Drama
The Infiltrator	Thriller
The Infiltrator	Crime
The Infiltrator	Drama
The Infiltrator	Biography
The Jungle Book	Family
The Jungle Book	Fantasy
The Jungle Book	Drama
The Jungle Book	Animation
The Jungle Book	Adventure
The Legend of Tarzan	Adventure
The Legend of Tarzan	Romance
The Legend of Tarzan	Drama
The Legend of Tarzan	Action
The Light Between Oceans	Drama
The Light Between Oceans	Romance
The Magnificent Seven	Action
The Magnificent Seven	Western
The Magnificent Seven	Adventure
The Nice Guys	Thriller
The Nice Guys	Crime
The Nice Guys	Mystery
The Nice Guys	Comedy
The Nice Guys	Action
The Purge: Election Year	Action
The Purge: Election Year	Sci-Fi
The Purge: Election Year	Thriller
The Purge: Election Year	Horror
The Revenant	Horror
The Revenant	Thriller
The Revenant	Western
The Revenant	Adventure
The Revenant	Drama
The Secret Life of Pets	Family
The Secret Life of Pets	Comedy
The Secret Life of Pets	Adventure
The Secret Life of Pets	Animation
The Shallows	Drama
The Shallows	Horror
The Shallows	Thriller
Tini: El gran cambio de Violetta	Adventure
Tini: El gran cambio de Violetta	Family
Tini: El gran cambio de Violetta	Music
Toni Erdmann	Comedy
Toni Erdmann	Drama
Triple 9	Crime
Triple 9	Action
Triple 9	Thriller
Triple 9	Drama
Trolls	Fantasy
Trolls	Animation
Trolls	Horror
Trolls	Musical
Trolls	Comedy
Trolls	Comedy
Trolls	Adventure
Trolls	Family
Trolls	Comedy
Trolls	Short
Trolls	Short
Underworld: Blood Wars	Action
Underworld: Blood Wars	Horror
War Dogs	War
War Dogs	Drama
War Dogs	Comedy
War Dogs	Short
War Dogs	Crime
War Dogs	Action
War Dogs	Documentary
Warcraft	Action
Warcraft	Fantasy
Warcraft	Adventure
Why Him?	Comedy
X-Men: Apocalypse	Sci-Fi
X-Men: Apocalypse	Action
X-Men: Apocalypse	Adventure
Zoolander 2	Comedy
Zootopia	Crime
Zootopia	Family
Zootopia	Mystery
Zootopia	Comedy
Zootopia	Adventure
Zootopia	Animation
