"","title","gross.title"
"1317","Passo falso",19585
"1318","Pat a Mat ve filmu",436965
"1319","Paterson",4805138
"1320","Patriotai",290907
"1321","Pattaya",14156015
"1322","Paula",269934
"1323","PAW Patrol",303032
"1324","Pawn Sacrifice",420384
"1325","Pay the Ghost",101281
"1326","Pele: Birth of a Legend",2199265
"1327","Pelo malo",3456
"1328","Peppa Pig in giro per il mondo",318674
"1329","Peppa Pig: The Golden Boots",558087
"1330","Père fils thérapie!",1453270
"1331","Perfetti sconosciuti",20252466
"1332","Pericle il nero",167439
"1333","Personal Shopper",465541
"1334","Pete's Dragon",27895041
"1335","Pettersson und Findus 2 - Das schönste Weihnachten überhaupt",4849985
"1336","Peur de rien (Parisienne)",124504
"1337","Phantom Boy",4446
"1338","Pink",46611
"1339","Pirko (Little Feather)",121142
"1340","Pitbull. Niebezpieczne Kobiety",971576
"1341","Pitbull. Nowe porzadki",688336
"1342","Piuma",341602
"1343","Pixi Post y los genios de Navidad",18292
"1344","Pixies",24680
"1345","Planeta singli",494325
"1346","Planetarium",470145
"1347","Poesía sin fin (Endless Poetry)",268606
"1348","Pohádky pro Emu",454580
"1349","Point Break",15535015
"1350","Pojdi Z Mano",46664
"1351","Pojdi z menoj",15793
"1352","Pokkiri Raja",11794
"1353","Polednice (The Noonday Witch)",341202
"1354","Polina, danser sa vie",697876
"1355","Política, manual de instrucciones",91832
"1356","Pooh - L'Ultimo Concerto",463660
"1357","Poor Cow (2016 re-release)",15709
"1358","Popstar: Never Stop Never Stopping",40904
"1359","Poveda",203462
"1360","Poveri ma Ricchi",7272904
"1361","Power To Change: Die EnergieRebellion",37615
"1362","Pr' Hostar",1132681
"1363","Prazdniny v Provence",534252
"1364","Precious Cargo",96401
"1365","Préjudice",79481
"1366","Premam",1046
"1367","Pretham",2804
"1368","Pride and Prejudice and Zombies",2159625
"1369","Prima di lunedi",579732
"1370","Problemski Hotel",51940
"1371","Prooi (Prey)",231548
"1372","Psi brezcasja (Case: Osterberg)",1856
"1373","Pulimurugan",115211
"1374","Purple Rain (2016 re-release)",854
"1375","Puthiya Niyamam",3735
"1376","Pyromanen",431768
"1377","Quackerz",215617
"1378","Qualcosa di nuovo",2255165
"1379","Quand on a 17 ans",1903597
"1380","Quatretondeta",27990
"1381","Quatro",750
"1382","Que Dios nos perdone",1448478
"1383","Queen and Country",2152
"1384","Queen of Earth",3965
"1385","Queen of Katwe",383290
"1386","Queen of the Desert",171967
"1387","Quel bravo ragazzo",1365822
"1388","Quella peste di Sophie",124864
"1389","Questi giorni",248337
"1390","Quo vado?",72725471
"1391","Rabbi Wolff",22755
"1392","Race",4728977
"1393","Rachanda (Crazy Kingdom)",806540
"1394","Radin!",20975285
"1395","Rajini Murugan",94022
"1396","Rak ti Khon Kaen",7830
"1397","Raman Raghav 2.0",6371
"1398","Ran (2016 re-issue)",18692
"1399","Ransacked",7991
"1400","Rasgar o Passado",480
"1401","Ratchet & Clank",2846002
"1402","Ratter (Webcam)",21214
"1403","Rauf",2742
"1404","Raven the Little Rascal - The Big Race",5149
"1405","Reality",2237
"1406","Refrigerantes e Canções de Amor",63258
"1407","Regression",90362
"1408","Rekka",282
"1409","Relève: Histoire d'une création",68887
"1410","Remainder",44898
"1411","Remember",783082
"1412","Remo",105441
"1413","Renesse",506588
"1414","Réparer les vivants (Heal the Living)",2162768
"1415","Retour à Ithaque (Return to Ithaca)",12094
"1416","Rettet Raffi!",9638
"1417","Return of the Don",21781
"1418","Reverso",4569
"1419","Revolution: New Art for a New World",19103
"1420","Reykjavík",17250
"1421","Ribbit",40801
"1422","Richard III (BFI Presents - 2016 re-issue)",68272
"1423","Richard Linklater: Dream is Destiny",4641
"1424","Richard Müller: Nespoznany",22117
"1425","Ricky Rapper and the Nighthawk (Risto Räppääjä ja yöhaukka)",3482563
"1426","Ride",6489
"1427","Ride Along 2",17001334
"1428","Right Now, Wrong Then",106463
"1429","Riphagen",270181
"1430","Risen",3023381
"1431","Robbi, Tobbi und das Fliewatüüt",303410
"1432","Robinson Crusoe",16300948
"1433","Robot Overlords",9896
"1434","Rock Dog",535264
"1435","Rock On 2",34556
"1436","Rock The Kasbah",138892
"1437","Rocky Handsome",44359
"1438","Rodencia y el Diente de la Princesa",5391
"1439","Rogue One: A Star Wars Story",232155771
"1440","Rokjesdag",3703315
"1441","Rolli and the Secret Route (Rölli ja kaikkien aikojen salaisuus)",993655
"1442","Romeo & Juliet from San Francisco Ballet 2015 (Ballet)",3893
"1443","Romeo and Juliet (1968) [2016 re-release]",6292
"1444","Room",10890743
"1445","Rosalie Blum",2700897
"1446","Rosemari",247269
"1447","Rotas",1656
"1448","Rudý kapitán",583335
"1449","Rumbos",321065
"1450","Rúnturinn I",214
"1451","Rupture",995
"1452","Rus'un Oyunu",18340
"1453","Rustom",148974
"1454","Rüzgarda Salinan Nilüfer (The Swaying Waterlily)",20983
"1455","Sa Ock Pa Jorden",93316
"1456","Saadey CM Saab",17489
"1457","Saala Khadoos",16936
"1458","SACA - o filme de Tiago Pires",2767
"1459","Sadakat",4425
"1460","Sadilishteto (The Judgment)",448
"1461","Safakla Donenler",102348
"1462","Saftirikler",6376
"1463","Saint Amour",3253745
"1464","Saithan",9890
"1465","Sanam Teri Kasam",45615
"1466","Sangailes vasara",6284
"1467","Sant Te Sipahi",1284
"1468","Sarbjit",49866
"1469","Sardaarji 2",83016
"1470","Sardar Gabbar Singh",218
"1471","Sarrainodu",239
"1472","Sausage Party",24510800
"1473","Savva. Heart of the Warrior",137673
"1474","Schellen-Ursli",8254
"1475","Schone Handen (Clean Hands)",352
"1476","Schweinskopf al Dente",2571219
"1477","Se Dio Vuole",1208294
"1478","Se mi lasci non vale",2479399
"1479","Secuestro",992626
"1480","Sekerat Son",15412
"1481","Selfie 69",664351
"1482","SelfieParty",179458
"1483","Sen Benim HerSeyimsin",1085674
"1484","Sen Sag Ben Selamet",464824
"1485","Senarist",3845
"1486","Seneca's Day (Senekos Diena)",21121
"1487","Seni Seven Ölsün",163629
"1488","Senso '45",1067
"1489","Sethupathi",12617
"1490","Sevdam Gözlerinde Kaldi",40447
"1491","Sevkat Yerimdar 2",225471
"1492","Seytan Papuçta",3562
"1493","Seytan Tüyü",179842
"1494","Seytanin Çocuklari-El Ebyaz",3893
"1495","Sezn@mka",695554
"1496","Shakespeare Live!",361491
"1497","Sheep & Wolves (Volki i ovtsy. Beeezumnoe prevrashchenie)",878588
"1498","Sherlock: The Abominable Bride",330207
"1499","Shivaay",114400
"1500","Shut In",1364387
"1501","Siberiade (2016 re-release)",1753
"1502","Siccin 3: Cürmü Ask",963763
"1503","Sicixia",60526
"1504","Sid & Nancy (30th Anniversary)",24184
"1505","Sieranevada",161183
"1506","Sin Hijos",196643
"1507","Sinbad: Pirates of the Seven Storms",30727
"1508","Sing",64395582
"1509","Sing Street",3586382
"1510","Sisters",2461581
"1511","Siv sover vilse (Siv Sleeps Astray)",7379
"1512","Siyah karga",4307
"1513","Skammerens datter (The Shamer's Daughter)",36732
"1514","Skiptrace",847555
"1515","Skjærgården",10895
"1516","Sky Ladder",219
"1517","Sleeping with Other People",34827
"1518","Sloboda pod nákladom",38852
"1519","Sluga naroda",877278
"1520","Slugi Boze",22881
"1521","Smetto quando voglio",2332
"1522","SMS für Dich",5828223
"1523","Sneekweek",597149
"1524","Snekker Andersen og Julenissen",5335195
"1525","Snowden",10999606
"1526","Sokak Köpekleri Bal ile Betty",1275
"1527","Sol Serit",30309
"1528","Solace",721597
"1529","Solaris (Solyaris) [2016 re-issue]",11494
"1530","Some Like It Hot",883
"1531","Someone to Talk To (Yi ju ding yi wan ju)",1592
"1532","Somuncu Baba: Askin Sirri",566636
"1533","Son of Joseph",4225
"1534","Son of Saul",1781216
"1535","Song of the Sea",24029
"1536","Song One",293
"1537","Sonita",17168
"1538","Soof 2",7791211
"1539","Soul Exodus",8770
"1540","Sour Grapes",12505
"1541","Sous les jupes des filles",6550
"1542","Southpaw",94927
"1543","Southside with You",307928
"1544","Souvenir",269753
"1545","Soy Nero",56551
"1546","Spain in a Day",12989
"1547","Speed Sisters",21931
"1548","Spirited Away (2016 re-release)",5936
"1549","SPL 2: A Time for Consequences",9274
"1550","Spooks: The Greater Good",21513
"1551","Spotlight",24676916
"1552","Stalker (2016 re-issue)",27475
"1553","Stanko",1479
"1554","Star Trek Beyond",56480484
"1555","Starfish",39012
"1556","Status: Svoboden (Status: Free)",72820
"1557","Staying Vertical",443080
"1558","Stefan Zweig: Farewell to Europe",640893
"1559","Steve Jobs",4014606
"1560","Steve McQueen: The Man & Le Mans",4157
"1561","Still Loved",7835
"1562","Stonewall",62980
"1563","Storks",32042463
"1564","Strange Occurrences in a Small Irish Village",9173
"1565","Strangerland",3363
"1566","Strangled (A martfüi rém)",189388
"1567","Strasidla (The Spooks)",425292
"1568","Streetdance Family",148
"1569","Strike a Pose",102610
"1570","Suburra",138474
"1571","Südafrika: Der Kinofilm",311092
"1572","Suddenly Seventeen",2147
"1573","Suffragette",3973928
"1574","Suicide Squad",138321035
"1575","Suite Francaise",83070
"1576","Sully",35399709
"1577","Sultan",1529134
"1578","Summertime",1782344
"1579","Sune i fjällen",6982
"1580","Sunset Song",274325
"1581","Supervention 2",489573
"1582","Supilinna Salaselts",45433
"1583","Sur quel pied danser",32626
"1584","Survivor",12745
"1585","Svarta Gengio",1622
"1586","Swallows and Amazons",3898580
"1587","Swiss Army Man",197924
"1588","Szkola uwodzenia Czeslawa M.",948
"1589","Taking Stock",837
"1590","Tale of a Lake",1740042
"1591","Tale of Tales",533042
"1592","Tamara",5595545
"1593","Tangerine",1152
"1594","Tanna",15974
"1595","Tarde para la ira (The Fury of a Patient Man)",1300251
"1596","Tarp musy berniuky",1150013
"1597","Taxi 121",28050
"1598","Taxi Driver (2016 Re-Release)",5918
"1599","Taxi Teheran",9823
"1600","Te3n",51208
"1601","Ted 2",134495
"1602","Ted Sieger's Molly Monster - Der Kinofilm",4389
"1603","Teenage Mutant Ninja Turtles: Out of the Shadows",26464426
"1604","Temel Ile Dursun Istanbul'da",9472
"1605","Tempête",107849
"1606","Tenemos que hablar",1505667
"1607","Tenkrat v raji",108858
"1608","Teorie tygra",1836839
"1609","Tere Bin Laden - Dead or Alive",9903
"1610","Tereddüt",49667
"1611","Term Life",59702
"1612","Tetarti 4:45",5415
"1613","Thank You for Bombing",16370
"1614","Tharai Thappattai",11640
"1615","Tharlo",907
"1616","The 11th Grade",408375
"1617","The 33",83465
"1618","The 5th Wave",20036282
"1619","The 7th Dwarf",50269
"1620","The 9th Life of Louis Drax",93638
"1621","The Accountant",21816916
"1622","The Angry Birds Movie",66842648
"1623","The Assassin",310589
"1624","The Autopsy of Jane Doe",36234
"1625","The Beatles: Eight Days a Week - The Touring Years",3991524
"1626","The Benefactor",6490
"1627","The BFG",67111202
"1628","The Big Short",23024575
"1629","The Birth of a Nation",279117
"1630","The Black Hen",6771
"1631","The Boss",6852450
"1632","The Boy",13594222
"1633","The Boy and the Beast",358833
"1634","The Brothers Grimsby",13622385
"1635","The Call Up",125077
"1636","The Canal",5528
"1637","The Carer",92099
"1638","The Childhood of a Leader",218805
"1639","The Choice",2239924
"1640","The Chronicles of Melanie (Melanijas hronika)",5527
"1641","The Cobbler",381355
"1642","The Colony",62
"1643","The Color of Time",199
"1644","The Comedian's Guide to Survival",95
"1645","The Commune (Kollektivet)",921185
"1646","The Confession",24538
"1647","The Conjuring 2",52205859
"1648","The Connection",96226
"1649","The Danish Girl",27635184
"1650","The Darkest Universe",2875
"1651","The Darkness",144719
"1652","The Daughter",169652
"1653","The Diary of a Teenage Girl",10462
"1654","The Disappointments Room",140602
"1655","The Divergent Series: Allegiant",45236310
"1656","The Divide",21639
"1657","The Double Life of Veronique (2016 re-release)",24998
"1658","The Dreamed Ones",327
"1659","The Dressmaker",3413227
"1660","The Duelist (Duelyant)",93031
"1661","The Duke of Burgundy",14222
"1662","The Eagle Huntress",389602
"1663","The Edge of Seventeen",640239
"1664","The End of the Tour",57529
"1665","The Evil That Men Do",4742
"1666","The Faith of Anna Waters",29095
"1667","The Fall",8516
"1668","The Family Fang",312064
"1669","The Farewell Party",2313
"1670","The Finest Hours",2181881
"1671","The First Monday in May",97817
"1672","The Flag",11239
"1673","The Forest",6181821
"1674","The Forger",65987
"1675","The Founder",436339
"1676","The Frog Kingdom 2: Sub-Zero Mission",112620
"1677","The Games Maker",12368
"1678","The Ghosts of Garip",55584
"1679","The Gift",1788381
"1680","The Girl King",45442
"1681","The Girl on the Train",56528615
"1682","The Girl with All the Gifts",1586743
"1683","The Gold Digger (Onnenonkija)",1052730
"1684","The Good Dinosaur",5934488
"1685","The Greasy Strangler",21549
"1686","The Great Gilly Hopkins",40085
"1687","The Great Wall",2378131
"1688","The Green Inferno",38848
"1689","The Guv'nor",948
"1690","The Hallow",129403
"1691","The Handmaiden",2147404
"1692","The Happiest Day in the Life of Olli Mäki",506794
"1693","The Hard Stop",48441
"1694","The Hateful Eight",65103570
"1695","The Hexecutioners",276
"1696","The House (Huset)",164772
"1697","The House on Pine Street",46060
"1698","The Huntsman Winter's War",35572024
"1699","The Incident",2401
"1700","The Infiltrator",3890818
"1701","The Intent",21305
"1702","The Invitation",61908
"1703","The Iron Giant (Signature Edition Re-release)",19920
"1704","The Ivory Game",105
"1705","The Jungle Book",177113563
"1706","The Keeping Room",38793
"1707","The Killing$ of Tony Blair",25318
"1708","The Lady in the Van",1961140
"1709","The Land of the Enlightened",609
"1710","The Last Man on the Moon",1399
"1711","The Legend of Barney Thompson",15385
"1712","The Legend of Tarzan",55850107
"1713","The Lesson",2354
"1714","The Light Between Oceans",4129498
"1715","The Lion King (2016 re-release)",14622
"1716","The Little Prince",11283004
"1717","The Lobster",259007
"1718","The Lovers and the Despot",12014
"1719","The Magical Brush",6686
"1720","The Magnificent Seven",29590412
"1721","The Man Who Fell To Earth (2016 re-release)",61920
"1722","The Man Who Knew Infinity",3553213
"1723","The Measure of a Man",53045
"1724","The Meddler",603302
"1725","The Mermaid",173553
"1726","The Mine (Jättiläinen)",400538
"1727","The Miracle of Tekir",2968
"1728","The Mirror (Zerkalo) [2016 re-issue]",40394
"1729","The Model",41098
"1730","The Monkey King 2 in 3D",18129
"1731","The Music of Strangers",1720
"1732","The Neighbor",268
"1733","The Neon Demon",1679614
"1734","The NeverEnding Story (2016 re-release)",92049
"1735","The Nice Guys",14230917
"1736","The Night Watchman",122073
"1737","The Nightmare Before Christmas (2016 re-release)",201941
"1738","The Nutcracker Sweet",1922
"1739","The Odyssey (L'odyssée)",8627208
"1740","The Ones Below",37973
"1741","The Other Side",94
"1742","The Other Side of the Door",3677561
"1743","The Pass",58755
"1744","The Passing",4449
"1745","The Pills: Sempre meglio che lavorare",560041
"1746","The Price of Desire",4223
"1747","The Program",79443
"1748","The Propaganda Game",5734
"1749","The Prosecutor the Defender the Father and His Son",635
"1750","The Purge: Election Year",21502543
"1751","The Revenant",141027335
"1752","The Rift",5520
"1753","The Rolling Stones Havana Moon",183947
"1754","The Runner",1232
"1755","The Sacrifice (Offret) [2016 re-issue]",25473
"1756","The Salesman",1955024
"1757","The Sea of Trees",811560
"1758","The Second Mother",10491
"1759","The Secret in their Eyes",1238669
"1760","The Secret Life of Pets",186981158
"1761","The Seventh Fire",865
"1762","The Shallows",17912479
"1763","The Silent Storm",5260
"1764","The Sky Trembles and the Earth is Afraid and the Two Eyes are Not Brothers",6487
"1765","The Smell of Us",1946
"1766","The Snow Queen 2",321908
"1767","The Snow Queen 3: Fire and Ice",114813
"1768","The Stanford Prison Experiment",2553
"1769","The Super Parental Guardians",13862
"1770","The Survivalist",56971
"1771","The Taming of the Shrew - Bolshoi 2016 (Ballet)",228755
"1772","The Teacher (Ucitelka)",527509
"1773","The Third Party",10323
"1774","The Treasure",18194
"1775","The Tribe",2293
"1776","The Trip to Italy",43766
"1777","The True Cost",5284
"1778","The Trust",35902
"1779","The Truth Commissioner",2464
"1780","The Tunnel",11601
"1781","The Unmarried Wife",16526
"1782","The Vatican Tapes",798929
"1783","The Violators",1848
"1784","The Visit: An Alien Encounter",997
"1785","The Wailing (Goksung)",283326
"1786","The Wait (L'attesa)",155394
"1787","The Weekend Movie",5976
"1788","The Whole Truth",154211
"1789","The Witch",5941916
"1790","The Wolfpack",7091
"1791","The Woman of My Life",2963
"1792","The World of Us (U-ri-deul)",1901
"1793","The Young Messiah",30171
"1794","The Young Offenders",3786
"1795","The Zero Theorem",58144
"1796","Theeb",15356
"1797","Théo et Hugo dans le même bateau (Paris 05:59)",48227
"1798","Theri (The Spark)",424761
"1799","Thirst (Jajda)",11715
"1800","This Beautiful Fantastic",1984
"1801","This Time",13620
"1802","Thodari",8414
"1803","Thomas & Friends: The Great Race",393396
"1804","Thoppil Joppan",2483
"1805","Þrestir (Sparrows)",94253
"1806","Through the Wall",10547
"1807","Ti guardo (From Afar)",118461
"1808","Tickled",33489
"1809","Time Out of Mind",67252
"1810","Tini: El gran cambio de Violetta",6921110
"1811","Tiramisù",2299588
"1812","Tiszta Szívvel",24694
"1813","Tjuvheder",123681
"1814","Tokyo Fiancée",41567
"1815","Tommaso",350367
"1816","Tonari no Totoro (My Neighbor Totoro) [2015 re-issue]",56293
"1817","Toni Erdmann",8480884
"1818","Tonio",1127097
"1819","Toro",1940514
"1820","Tour de France",425144
"1821","Tout de suite maintenant",1251878
"1822","Tout en haut du monde (Long Way North)",12900
"1823","Tout pour être heureux (Dad in Training)",2528610
"1824","Tout schuss",3609698
"1825","Tout, tout de suite",63970
"1826","Tra la terra e il cielo",126199
"1827","Trabantem do posledního dechu",275920
"1828","Trabantem do posledního dychu",25886
"1829","Traders",10696
"1830","Train to Busan",2066748
"1831","Trash Detective",43030
"1832","Triple 9",6522536
"1833","Trois Couleurs: Bleu [2016 re-release]",1617
"1834","Trois souvenirs de ma jeunesse (My Golden Days)",64207
"1835","Trolls",89128247
"1836","Troppo napoletano",1589621
"1837","Troublemakers: The Story of Land Art",9109
"1838","Truman",1255631
"1839","Trumbo",2313714
"1840","Truth",907020
"1841","Tschick",3844923
"1842","Tschiller: Off Duty",2747188
"1843","Tudo",2374
"1844","Tudo Que Aprendemos Juntos (All We Learns Together)",498639
"1845","Tum Bin 2",28719
"1846","Tumbledown",50336
"1847","Türk Lokumu",7870
"1848","Tutak Tutak Tutiya",8498
"1849","Tutmayin Beni",64224
"1850","Two Women",7821
"1851","Üç Harfliler 3: Karabüyü",806813
"1852","Udta Punjab",127883
"1853","Umrika",59817
"1854","Un bacio",502615
"1855","Un Gallo con Muchos Huevos",842483
"1856","Un homme à la hauteur (Up for Love)",6340594
"1857","Un homme idéal",219768
"1858","Un moment d'égarement (One Wild Moment)",246548
"1859","Un Natale al Sud",3020675
"1860","Un paese quasi perfetto",1714707
"1861","Un peu, beaucoup, aveuglément! (Blind Date)",13979
"1862","Un plus une",45313
"1863","Uncle Howard",2204
"1864","Under sandet (Land of Mine)",547668
"1865","Under the Shadow",93215
"1866","Underworld: Blood Wars",5945042
"1867","Une famille à louer",125636
"1868","Une histoire de fou (Don't Tell Me the Boy was Mad)",742
"1869","Une nouvelle amie (The New Girlfriend)",16337
"1870","Une semaine et un jour (One Week and a Day)",60602
"1871","Une vie (A Woman's Life)",674736
"1872","Unfinished Piece for the Player Piano (2016 re-release)",2047
"1873","United States of Love (Zjednoczone stany milosci)",19098
"1874","Uns geht es gut (We are Fine)",3402
"1875","Urban Hymn",1115
"1876","Urge",4060
"1877","USS Indianapolis: Men of Courage",24953
"1878","Ustav Republike Hrvatske (The Constitution)",12954
"1879","Ustica: The Missing Paper",90611
"1880","Uti ao Aka - A Reykspuandi Kadilakk yfir Ameriku",2396
"1881","Vaaliba Raja",5642
"1882","Vacationers (Letovnici)",58749
"1883","Vaisakhi List",17744
"1884","Valiant Rooster (Toto, cocoselul cel viteaz)",1994
"1885","Valley of Love",172953
"1886","Valliyum Thetti Pulliyum Thetti",2911
"1887","Vanishing Time: A Boy Who Returned (Ga-ryeo-jin Si-gan)",406
"1888","Ve Panayir Köyden Gider",12190
"1889","Velainu Vandhutta Vellaikaaran",7253
"1890","Veloce come il vento",2407326
"1891","Vendeur",350965
"1892","Vergine giurata (Sworn Virgin)",667
"1893","Verrückt nach Fixi",499877
"1894","Versus: The Life and Films of Ken Loach",51339
"1895","Vettah",1012
"1896","Viaje",712
"1897","Vicky",469332
"1898","Victor Frankenstein",252081
"1899","Victoria",4819381
"1900","Vientos de la Habana",224540
"1901","Vier gegen die Bank",8558838
"1902","Villaviciosa de al lado",10866560
"1903","Ville-Marie",4432
"1904","Violette",938
"1905","Viral",70542
"1906","Visaranai",1943
"1907","Vita Cuore e Battito",1836942
"1908","Viva",223555
"1909","Voir du pays (The Stopover)",109784
"1910","Vsetko co mam rad (2016 re-release)",779
"1911","Vsio O Muzcynach",15559
"1912","Vulcania",4901
"1913","Wagah",1693
"1914","War [Voyna] (2002)",1887
"1915","War Dogs",20646534
"1916","War on Everyone",557099
"1917","Warcraft",67902124
"1918","Warrior's Gate",6096
"1919","Was bleibt (Home for the Weekend)",713
"1920","Waterboys",211834
"1921","Wazir",119178
"1922","Weekend",63526
"1923","Weiner",39847
"1924","Welcome to Leith",370
"1925","Welcome to Me",2242
"1926","Welcome to Norway",610580
"1927","Where to Invade Next",457871
"1928","Where You're Meant to Be",37100
"1929","Whiskey Tango Foxtrot",212318
"1930","White Island",23638
"1931","Who Gets the Dog?",22303
"1932","Why Him?",13563548
"1933","Wiener-Dog",227019
"1934","Wild",72022
"1935","Wild Goose Lodge",47288
"1936","Wild Oats",119374
"1937","Willkommen bei den Hartmanns",28006968
"1938","Willy 1er",77400
"1939","Wings (2016 re-release)",746
"1940","WiNWiN",7527
"1941","Woezel & Pip Op zoek naar de Sloddervos! (Woozle & Pip the Movie)",1587075
"1942","Wolf Totem",50989
"1943","Worry Dolls",56152
"1944","X-Men: Apocalypse",72818990
"1945","Xenia",2723
"1946","Yarim (The Half)",9384
"1947","Yarn",4925
"1948","Yemekteydik ve karar verdim (We Were Dining and I Decided)",2707
"1949","Yildizlar da Kayar: Das Borak",116241
"1950","Yitik Kuslar (Lost Birds)",45317
"1951","Yoga Hosers",7289
"1952","Yok Artik! 2",539716
"1953","Yola Geldik",31698
"1954","Yolculuk",20973
"1955","Yolki 5",99636
"1956","Yolsuzlar Cetesi",41774
"1957","You've Been Trumped Too",6615
"1958","Your Name (Kimi no na wa.)",1879688
"1959","Youth",2806540
"1960","Z-Storm 2 (S Storm)",1779
"1961","Z for Zachariah",218922
"1962","Zavtrak u papy",9811
"1963","Zemletriasenije (The Earthquake)",65965
"1964","Zeta",749677
"1965","Zhaleika",2438
"1966","Zip and Zap and the Captain's Island",2751812
"1967","Zkáza krásou",161334
"1968","Zlodeji zelených koní",9542
"1969","Zoolander 2",11042682
"1970","Zootopia",159326306
"1971","Zorawar",7914
"1972","Zuzula",11854
"1973","Zvizdan (The High Sun)",294597
